title,dialogue ratio,parenthetical ratio,words per line,dialogue sentiment,number of scenes,runtime,release,domestic
HITCHCOCK,0.777617512,0.024479804,22.43574051,0.070100577,144,98,2012,6008677
THE SESSIONS,0.444069512,0.001230012,9.712177122,0.138313089,152,98,2012,6002451
THE LAST BOY SCOUT,0.369351538,0.132933105,9.442538593,0.015042153,124,105,1991,59509925
WATER FOR ELEPHANTS,0.821981636,0.011415525,27.38812785,0.06110122,148,120,2011,58709717
JACK,0.334498295,0.075268817,7.765395894,0.113874637,129,113,1996,58620973
ALI,0.785633349,0.294835681,24.73896714,0.026133687,200,156,2001,58203105
THE LINCOLN LAWYER,0.761849433,0.064039409,15.61165846,0.028154647,142,119,2011,58009200
THE CIDER HOUSE RULES,0.830510351,0.190989226,22.043095,0.153005083,189,125,1999,57545092
TAMARA DREWE,0.784188308,0.005788712,13.30680174,0.030265507,220,107,2010,560391
BOTTLE ROCKET,0.401575193,0.114261885,6.76146789,0.077282696,95,92,1996,560069
THE MAN IN THE IRON MASK,0.337524396,0.009628611,12.37001376,0.102385556,131,172,1998,56968902
THE QUEEN,0.691451168,0.191432396,17.78982597,0.079577416,130,97,2006,56441711
FEAST,0.825705719,0.051446945,15.64415863,0.001277867,103,88,2006,56131
FANTASTIC FOUR,0.822647585,0.075327511,25.10152838,0.032071718,172,100,2015,56117548
PARANORMAN,0.84636383,0.009009009,29.79429429,-0.050820048,110,93,2012,56003051
ORDINARY PEOPLE,0.221035253,0.023059185,3.498847041,0.004444549,158,124,1980,54766923
SOURCE CODE,0.854930652,0.016528926,19.67665289,0.008281217,98,94,2011,54712227
THE ABYSS,0.237665444,0.037656904,10.39330544,0.076065631,243,146,1989,54222310
TMNT,0.730747899,0.116504854,20.78640777,0.045023524,103,90,2007,54149098
INSIDIOUS,0.861182978,0.00877193,28.2251462,0.007557136,155,98,2011,54009150
MACHINE GUN PREACHER,0.792656218,0.020430108,24.90645161,0.00086101,251,123,2011,538690
FINAL DESTINATION,0.303336575,0.119815668,11.01843318,0.027915722,101,98,2000,53331147
FUNNY PEOPLE,0.859183226,0.032013479,19.81550126,0.065358708,167,136,2009,51855045
THE FRENCH CONNECTION,0.272092145,0.121428571,10.29285714,0.067207735,184,104,1971,51700000
SYRIANA,0.783882413,0.024804178,30.28590078,0.060859547,199,126,2005,50824620
HOT TUB TIME MACHINE,0.801848557,0.030769231,16.63897436,0.050499081,90,100,2010,50287556
INVENTING THE ABBOTTS,0.390010133,0.089320388,8.967961165,0.025752703,167,110,1997,5936344
GABRIEL,0.32407805,0.175792507,9.788184438,0.084650977,180,85,2015,5917
HIGHLANDER,5.44395E-05,0.104925054,0.001070664,0,138,111,1986,5900000
ED WOOD,0.431329728,0.200652529,10.14926591,0.116215518,163,127,1994,5887457
THE BLING RING,0.315993326,0.01300813,8.622764228,0.123801747,131,90,2013,5845732
BEGINNERS,0.727599347,0.007075472,15.76179245,0.110509486,176,104,2011,5790894
ROCKNROLLA,0.426408647,0.189440994,11.10869565,0.070234017,162,114,2008,5700626
MONKEYBONE,0.291780718,0.084795322,11.22076023,0.102944679,137,88,2001,5411999
MARGIN CALL,0.46143617,0.016771488,9.457023061,0.016148136,75,109,2011,5354039
ALONE IN THE DARK,0.795840442,0.012048193,39.34136546,0.00681759,158,96,2005,5178569
BROKEN EMBRACES,0.841819365,0.025024062,32.36669875,0.05020479,155,105,2009,5014305
MOON,0.269944473,0.162616822,10.6317757,0.090765089,146,97,2009,5010163
MINI'S FIRST TIME,0.768968929,0.110798122,18.24225352,0.051278894,154,91,2006,49034
G.I. JANE,0.462471436,0.125295508,12.43971631,0.056075071,183,125,1997,48169156
THE KINGDOM,0.310552562,0.116367077,8.778618732,0.099922534,148,110,2007,47536778
HARD TO KILL,0.209850657,0.49009901,12.13861386,0.033395894,162,95,1990,47410827
THE DISTINGUISHED GENTLEMAN,0.519021739,0.131578947,12.39824561,0.153108505,144,112,1992,46666502
MARGARET,0.768559542,0.010590015,14.34644478,0.067210305,173,0,2011,46495
WALKING TALL,0.847576066,0.008474576,12.33474576,0.084042892,58,86,2004,46437717
THE BEST EXOTIC MARIGOLD HOTEL,0.815587086,0.015525114,18.11050228,0.12134773,205,118,2012,46412041
MOONRISE KINGDOM,0.882965759,0.016686532,26.76996424,-0.001818442,67,93,2012,45512466
HALL PASS,0.780577796,0.013719512,16.125,0.096202534,108,98,2011,45060734
THE DAMNED UNITED,0.445640126,0.108029197,14.08613139,0.083291142,131,97,2009,449865
THE DARK KNIGHT RISES,0.844681934,0.006259781,19.48122066,0.010341348,322,165,2012,448139099
THE REPLACEMENTS,0.362457652,0.128595601,14.66328257,0.085206939,86,118,2000,44737059
LOST IN TRANSLATION,0.809953413,0.103157895,23.05894737,0.06059756,117,102,2003,44585453
SPEED RACER,0.855340336,0.000860585,21.58519793,0.06995988,324,135,2008,43945766
YEAR ONE,0.793219651,0.246300211,20.65221987,0.077943921,51,100,2009,43337279
POINT BREAK,0.263063429,0.153488372,12.04341085,0.050909696,113,122,1991,43218387
SPANGLISH,0.364123439,0.27607362,10.70143149,0.138066594,186,111,2004,42726869
CASINO,0.492091837,0.055800883,10.84142914,0.075781958,444,178,1995,42512375
BIRDMAN,0.429450195,0.000910747,9.219489982,0.055633014,57,119,2014,42340598
DRAG ME TO HELL,0.864604577,0.013254786,22.47717231,0.051345254,73,99,2009,42100625
KILLING ZOE,0.287555906,0.152652005,7.069857697,0.082135548,102,96,1994,418961
THE BELIEVER,0.806054705,0.143915344,19.27195767,0.012025721,119,100,2002,416925
THE HILLS HAVE EYES,0.778963786,0.07827476,25.53035144,-0.001490249,115,105,2006,41778863
RONIN,0.278878478,0.317934783,10.5951087,0.049735736,91,120,1998,41616262
ORPHAN,0.840560666,0.029284165,27.05748373,-6.94521E-05,199,123,2009,41596251
FROZEN,0.257723112,0.12183908,4.142528736,0.139379858,60,108,2013,400738009
THE IDES OF MARCH,0.766251039,0.004439512,15.34628191,0.070234113,87,102,2011,40962534
MAX PAYNE,0.842763297,0.150501672,22.16833891,-0.007636384,73,100,2008,40689393
HANNA,0.667765999,0.004884005,20.76678877,0.019765566,204,111,2011,40259119
ENOUGH,0.77686679,0.108949416,22.85862516,0.067998376,129,111,2002,40007742
ANONYMOUS,0.3796403,0.243312102,13.84840764,0.13366144,178,130,2011,4463292
SPARTAN,0.241468126,0.464285714,8.640552995,0.045612909,64,107,2004,4434432
DEAR WHITE PEOPLE,0.471514654,0.034188034,11.03525641,0.065503306,92,100,2014,4404154
DETROIT ROCK CITY,0.868716229,0.131513648,28.92307692,0.010962273,105,95,1999,4217115
THIS BOY'S LIFE,0.39290941,0.196341463,13.09634146,0.081668551,150,114,1993,4104962
MAN TROUBLE,0.365743859,0.217438105,11.1065662,0.071110173,147,100,1992,4096030
CONAN THE BARBARIAN,0.884110725,0.014492754,30.27246377,0.015915058,82,129,1982,39565475
BURLESQUE,0.741622287,0.03957382,15.57914764,0.091202466,135,100,2010,39440655
PITCH BLACK,0.301774551,0.107142857,8.907738095,0.044043532,212,109,2000,39240659
FRACTURE,0.468644967,0.016853933,11.90674157,-0.047480178,134,113,2007,39015018
HESHER,0.731293205,0.019093079,21.58711217,-0.044886404,144,109,2011,382946
SURROGATES,0.645520424,0.043859649,19.98120301,0.017409248,176,89,2009,38577772
PRIDE AND PREJUDICE,0.841778091,0.043802423,20.06616962,0.112481981,127,126,2005,38405088
NINJA ASSASSIN,0.279039941,0.019287834,9.038575668,0.048965142,133,99,2009,38122883
SMASHED,0.48349094,0.318429662,9.980370774,0.051245795,75,85,2012,376597
ST. ELMO'S FIRE,0.784636364,0.009146341,17.54268293,0.073299345,140,110,1985,37803872
AUTUMN IN NEW YORK,0.847237361,0.116254037,21.75457481,0.074192163,151,104,2000,37761915
RED RIDING HOOD,0.866733146,0.024691358,30.04567901,-0.001872571,202,100,2011,37662162
INVICTUS,0.79228948,0.035758323,27.64611591,0.05697529,249,132,2009,37491364
THE BACK-UP PLAN,0.431568816,0.092365693,8.452403393,0.129568187,133,98,2010,37490007
PAUL,0.695671982,0.004470939,11.37853949,0.046565346,136,100,2011,37412945
THE ROOMMATE,0.86033469,0.022836538,22.86298077,0.057839491,196,93,2011,37300107
THE CHANGE-UP,0.816024627,0.037574722,16.29888984,0.060927708,92,101,2011,37081475
SPHERE,0.448996691,0.063197026,7.968773234,0.018411579,179,152,1998,37020277
DEADPOOL,0.310042097,0.230769231,11.42838196,0.049796599,100,106,2016,363070709
WIND CHILL,0.229109509,0.218947368,10.37263158,0.037523161,102,91,2007,36804
COLOMBIANA,0.85231393,0.00804829,21.99295775,0.038997401,278,107,2011,36665854
AMERICAN SNIPER,0.331320755,0.164948454,9.051546392,0.000726416,124,132,2014,350126372
IN THE BEDROOM,0.855269648,0.01659751,21.5840249,0.039234169,85,130,2001,35930604
SMOKIN' ACES,0.811975692,0.199279712,29.51380552,0.00315741,122,108,2007,35787686
CHANGELING,0.848126526,0.184952978,29.75444096,0.029356175,188,140,2008,35739802
LARRY CROWNE,0.798539519,0.016346154,16.0875,0.086791913,135,99,2011,35608245
THE AMERICAN,0.227057631,0.018651363,7.710186514,0.130392212,168,105,2010,35606376
HANNAH AND HER SISTERS,0.383288243,0.987341772,10.76015989,0.116976155,45,107,1986,35392203
FRANKENWEENIE,0.240535293,0.033264033,7.212058212,0.12331394,134,87,2012,35291068
COMMANDO,0.824274189,0.019298246,24.55614035,-0.000614145,158,90,1985,35100000
CREATION,0.336265085,0.056910569,10.69268293,0.111609223,155,108,2010,341323
EXCALIBUR,0.914507579,0.106382979,40.09165303,0.034109015,173,140,1981,34967437
JUDGE DREDD,0.689791912,0.050198151,23.20871863,0.015142414,72,96,1995,34693481
BABEL,0.738938216,0.017374517,19.36003861,-0.03059112,199,142,2006,34302837
THE READER,0.700527543,0,18.97009967,0.054012623,196,122,2008,34194407
THE ASSIGNMENT,0.87195325,0.080906149,31.06580367,0.036370576,194,119,1997,332597
DARKMAN,0.75097539,0.014111007,18.83160865,0.009094359,77,96,1990,33878502
ALL ABOUT STEVE,0.860808238,0.011363636,25.11994949,0.060295419,194,99,2009,33862903
CARRIE,0.20719652,0.26034713,6.296395194,0.10069176,85,98,1976,33800000
SUPER,0.725687792,0.029090909,17.21727273,-0.000356508,162,90,2011,327716
SHREK THE THIRD,0.840532452,0.02510917,20.54257642,0.077436084,88,92,2007,322719944
THE PIANIST,0.860497886,0.209492635,29.98363339,0.016525833,164,148,2002,32572577
THE MEN WHO STARE AT GOATS,0.470250717,0.055023923,13.52870813,-0.001778232,157,90,2009,32428195
ANALYZE THAT,0.457008974,0.241652021,9.084358524,0.113386062,125,100,2002,32130627
SHE'S OUT OF MY LEAGUE,0.847651775,0.017068273,20.06024096,0.080609258,83,104,2010,32010860
MILK,0.748319518,0.112440191,21.70574163,0.092534747,156,128,2008,31841299
LAKE PLACID,0.39998738,0.281954887,7.943609023,0.063280098,96,82,1999,31770414
SCOTT PILGRIM VS. THE WORLD,0.72820314,0.004179104,11.21432836,0.030538369,104,113,2010,31524275
THE DEBT,0.310305988,0.07177814,13.48287113,0.019007638,168,113,2011,31177548
STAR WARS,0.861500786,0.097536946,28.07389163,0.01907483,480,121,1977,307263857
CRAZY LOVE,0.823222348,0.084201389,15.1953125,0.063634071,118,91,2007,301027
DUNE,0.310178564,0.38658147,12.12619808,0.090297119,266,137,1984,30925690
GET ON UP,0.382614527,0.025555556,12.04555556,0.12940147,169,138,2014,30703100
MIRRORS,0.249145332,0.047531993,11.99085923,0.069346392,118,110,2008,30691439
THE BOONDOCK SAINTS,0.8636889,0.270676692,29.02882206,-0.011945948,143,110,2000,30471
SNATCH,0.426585212,0.003080082,10.39527721,0.00851065,125,103,2000,30328156
ASSASSINS,0.319428721,0.001135074,8.326901249,0.038661616,181,133,1995,30303072
WILD THINGS,0.363506744,0.206724782,11.74719801,0.01037638,142,108,1998,30147739
JAY AND SILENT BOB STRIKE BACK,0.833955669,0.175175175,21.01501502,-0.026938217,135,104,2001,30085147
THE IRON LADY,0.670546014,0.097101449,18.95507246,0.074620123,135,105,2011,30017992
SHAME,0.260529372,0.049608355,5.563968668,0.082013407,114,99,2011,3909002
BOUND,0.879376194,0,17.94155844,-0.002907385,173,107,1996,3802260
THE BROTHERS BLOOM,0.383828464,0.039492243,13.22990127,0.064473351,228,109,2009,3531756
CELESTE AND JESSE FOREVER,0.800825188,0.000912409,14.87591241,0.095149201,105,91,2012,3094813
SYNECDOCHE NEW YORK,0.739863653,0.030412744,14.93120927,0.041283779,204,124,2008,3083538
UP,0.827368663,0.053571429,19.81593407,0.0295155,181,96,2009,293004164
INCEPTION,0.382302893,0.059725585,8.703793382,0.060204565,285,148,2010,292576195
FREAKED,0.847374034,0.040332147,22.6227758,0.029301783,73,86,1993,29296
CHINATOWN,0.828757058,0.256745707,17.52248569,0.023459625,76,131,1974,29200000
PRIEST,0.816818145,0.03021978,27.89972527,0.034974714,134,87,2011,29136626
THE MECHANIC,0.819656585,0.030015798,38.23380727,0.040935335,244,100,2011,29121498
THE INSIDER,0.413666164,0.347554631,12.27783559,0.098755767,202,155,1999,29089912
THE BATTLE OF SHAKER HEIGHTS,0.864278257,0.078306878,16.64444444,0.051900488,99,85,2003,280351
CAPOTE,0.787685367,0.158301158,21.12355212,0.045557949,185,114,2005,28750530
WE OWN THE NIGHT,0.73417994,0.069979716,24.21602434,0.052219937,144,118,2007,28563179
THE HANGOVER,0.815612255,0.046357616,16.27057711,0.064993463,83,96,2009,277322503
BLADE RUNNER,0.902696316,0.004016064,28.63855422,0.037774297,128,117,1982,27580111
DALLAS BUYERS CLUB,0.416293684,0.089285714,12.64835165,0.030448595,155,117,2013,27298285
HIGH FIDELITY,0.869629405,0.063578565,20.86557675,0.063054381,101,114,2000,27287137
FLASH GORDON,0.702222458,0.021021021,19.87837838,0.059016664,149,111,1980,27107960
