title,dialogue ratio,parenthetical ratio,words per line,dialogue sentiment,number of scenes,runtime,release,domestic
BRINGING OUT THE DEAD,0.47525119,0.12125163,11.71707953,0.038794121,74,121,1999,16797191
DEEP COVER,0.808604651,0.405275779,20.84532374,0.043012458,133,107,1992,16639799
THE MASTER,0.654084075,0.001469508,10.64364438,0.080610124,125,137,2012,16377274
YOUNG ADULT,0.205155635,0.11700468,9.274570983,0.110922372,151,94,2011,16311571
JENNIFER'S BODY,0.819520867,0.028968714,22.43568946,-0.000688005,101,102,2009,16204793
FRUITVALE STATION,0.398272696,0.063977747,11.15994437,0.070060266,114,90,2013,16101339
WHAT LIES BENEATH,0.32791172,0.153679654,6.785714286,0.103559968,126,130,2000,155464351
SNOW WHITE AND THE HUNTSMAN,0.811912108,0.020053476,28.84893048,0.021339667,142,127,2012,155332381
JERRY MAGUIRE,0.840304594,0.278044104,22.3240652,0.093855158,169,138,1996,153952592
LA LA LAND,0.265286367,0.115625,7.7078125,0.113343861,112,128,2016,151101803
AMERICAN HUSTLE,0.489946254,0.073619632,11.88420245,0.056284901,145,138,2013,150117807
YOUTH IN REVOLT,0.846668451,0.018501388,20.48843663,0.064940175,206,90,2010,15281286
DRIVE,0.81721017,0,28.47543582,0.03218702,160,99,1992,15084
THE BOX,0.804966419,0.007050529,21.40775558,0.02002091,212,116,2009,15051977
KNOCKED UP,0.776053729,0.013493976,9.689638554,0.114803774,162,129,2007,148768917
MEGAMIND,0.377151669,0.081987578,11.24099379,0.096868277,104,96,2010,148415853
GREMLINS,0.845890968,0.098765432,21.3909465,0.041403328,76,106,1984,148168459
GRAN TORINO,0.81957782,0.001715266,15.88336192,0.047197903,110,116,2008,148095302
I ROBOT,0.314376706,0.087022901,10.54961832,0.067223515,162,105,2004,144801023
JUNO,0.83598027,0.119019837,17.99649942,0.100565958,117,91,2007,143495265
SLUMDOG MILLIONAIRE,0.297568434,0.041709054,8.11698881,0.116464748,197,120,2008,141319928
SOLARIS,0.45794467,0.120481928,11.53413655,0.030271499,119,95,2002,14973382
GET CARTER,0.832170518,0.176638177,18.51994302,0.006439889,147,102,2000,14967182
LAST CHANCE HARVEY,0.785096184,0.335459184,16.08545918,0.048832313,132,99,2008,14889042
MUSIC OF THE HEART,0.81181253,0.145853194,19.4184938,0.068571658,156,123,1999,14859394
PROM NIGHT,0.80073251,0.058236273,21.4625624,0.007510262,98,94,1980,14796236
MY WEEK WITH MARILYN,0.696317393,0.000845309,17.77345731,0.113299633,168,99,2011,14600347
SOLDIER,0.173041059,0.219653179,10.90558767,0.053808226,231,99,1998,14594226
HELLRAISER,0.183112806,0.160572337,5.192368839,0.080309278,184,93,1987,14564027
BIG EYES,0.813117311,0.047244094,21.1136108,0.053359665,119,106,2014,14482031
SNOW FALLING ON CEDARS,0.43310952,0.003663004,12.52289377,0.058923723,110,127,1999,14417593
DARK CITY,0.185137282,0.10971223,9.010791367,0.027903223,118,103,1998,14378331
AMELIA,0.644845665,0.008028546,15.57983943,0.111922431,113,120,2009,14245415
DINER,0.776355608,0.046908316,16.68336887,0.077361785,53,110,1982,14099953
SISTER ACT,0.413220316,0.204651163,9.372093023,0.120502291,69,100,1992,139605150
GODZILLA,0.216378411,0.147308782,8.222379603,0.105926174,281,140,1998,136314294
ARGO,0.711229053,0.073684211,22.39342105,0.043358699,306,120,2012,136025503
THE KING'S SPEECH,0.520926999,0.097431355,9.954827281,0.07045,90,118,2010,135453143
WANTED,0.808580991,0.030612245,29.2303207,0.032433568,107,108,2008,134508551
THE DEPARTED,0.671196102,0.136513158,16.65460526,0.016781353,207,150,2006,132384315
SILVER LININGS PLAYBOOK,0.600420088,0.008193187,6.779646399,0.084882503,164,122,2012,132092958
AMERICAN GANGSTER,0.408355399,0.054567023,14.81850534,0.058347658,309,160,2007,130164645
JACKIE,0.511363983,0.063787375,11.13754153,0.069252577,100,95,2016,13960394
WARRIOR,0.788507747,0.008827238,24.00126103,0.024493145,168,139,2011,13657115
CASE 39,0.847863463,0.027811366,24.44860943,-0.022316142,160,109,2010,13261851
INTO THE WOODS,0.573744596,0.017048482,7.353223229,0.067156091,114,124,2014,128002372
THE CURIOUS CASE OF BENJAMIN BUTTON,0.323483122,0.174501992,10.97290837,0.117133115,305,168,2008,127509326
PROMETHEUS,0.876429933,0.031767956,30.47651934,-0.013722981,136,124,2012,126477084
THE TRUMAN SHOW,0.250694607,0.571637427,10.94883041,0.067865148,180,103,1998,125618201
ERIN BROCKOVICH,0.435273321,0.100281162,12,0.079699738,261,130,2000,125595205
OCEAN'S TWELVE,0.397407204,0.062944162,9.554314721,0.133597728,191,124,2004,125544280
LIFE OF PI,0.269872123,0.005076142,13.39086294,0.090486538,123,126,2012,124987023
SOMETHING'S GOTTA GIVE,0.430314544,0.224916388,9.848662207,0.171566982,68,128,2003,124728738
SUPERBAD,0.428883108,0.107142857,9.866795367,0.003543177,146,114,2007,121463226
APRIL FOOL'S DAY,0.79034965,0.101714286,19.37485714,0.029896899,157,88,1986,12947763
ANNA KARENINA,0.830119115,0.015992474,22.02822201,0.061999385,265,130,2012,12816367
RACHEL GETTING MARRIED,0.402796166,0.107540173,9.401730532,0.072672238,78,114,2008,12796841
BEASTS OF THE SOUTHERN WILD,0.855228376,0.023872679,36.90185676,0.022738363,123,91,2012,12795746
AN EDUCATION,0.469176555,0.125968992,10.19186047,0.101897891,121,95,2009,12574914
FOXCATCHER,0.765267701,0.039671683,22.79890561,0.090133278,148,134,2014,12096300
SUNSHINE CLEANING,0.324531363,0.030888031,6.951737452,0.113504219,179,102,2009,12062558
THE MASK,0.845700322,0.071500504,21.95669688,0.038719779,114,97,1994,119938730
TOTAL RECALL,0.806849315,0.45210728,30.46551724,0.048335211,139,113,1990,119394840
BASIC INSTINCT,0.825273767,0.375138735,18.90344062,0.010172734,138,123,1992,117727224
HORRIBLE BOSSES,0.760143143,0.037132988,14.12435233,0.03099248,121,100,2011,117538559
THE WOLF OF WALL STREET,0.485807453,0.086501901,14.86977186,0.040087831,200,180,2013,116900694
GHOST RIDER,0.818226212,0.071165644,26.72638037,-0.017664763,162,110,2007,115802596
WILD WILD WEST,0.28997125,0.323188406,12.42463768,0.099247421,196,107,1999,113804681
THE ADDAMS FAMILY,0.276693986,0.28113879,8.53024911,0.039663827,66,102,1991,113502426
THE PACIFIER,0.822208307,0.048837209,22.90232558,0.049408202,181,91,2005,113086868
IT'S COMPLICATED,0.437997672,0.309164149,9.472306143,0.147433253,80,118,2009,112735375
FACE/OFF,0.316429484,0.135211268,10.11549296,0.02027244,154,138,1997,112276146
TWINS,0.343572059,0.369020501,9.758542141,0.146150709,156,105,1988,111938388
ENEMY OF THE STATE,0.386666667,0.126079447,7.613126079,0.058375639,188,131,1998,111549836
TROPIC THUNDER,0.805887931,0.099401198,21.3748503,0.011047103,78,107,2008,110515313
THE GRUDGE,0.745866051,0.054726368,40.16915423,-0.011242828,116,96,2004,110359362
THE SHIPPING NEWS,0.331438566,0.006904488,11.33947066,0.101215569,89,111,2001,11434216
BOBBY,0.516586996,0.015015015,14.38738739,0.02374131,80,120,2006,11242801
JANE EYRE,0.883447881,0.003693444,22.78855032,0.063482809,139,121,2011,11242660
AFTER.LIFE,0.822342108,0.034606205,21.10023866,-0.019325694,196,97,2010,108595
WATCHMEN,0.776712866,0.014507772,22.59067358,0.010284448,185,163,2009,107509799
BLACK SWAN,0.837508643,0.012012012,23.64264264,0.026542594,113,103,2010,106954678
ANALYZE THIS,0.538288956,0.170120898,10.98100173,0.095573341,103,103,1999,106885658
RISE OF THE GUARDIANS,0.840089932,0.056420233,23.26264591,0.062058555,119,97,2012,103412758
SCREAM,0.347859362,0.078867543,7.812942366,0.011371018,104,110,1996,103046663
HENRY'S CRIME,0.763721022,0.030540329,12.07361002,0.095077588,162,108,2011,102541
EAGLE EYE,0.74253501,0.082013048,21.29822926,0.018372381,180,118,2008,101440743
COLLATERAL,0.306189273,0.196759259,9.957175926,0.043968658,170,125,2004,101005703
VANILLA SKY,0.851989989,0.159831756,18.2555205,0.094445787,109,135,2001,100618344
SHAKESPEARE IN LOVE,0.355780667,0.203302374,8.95252838,0.211212163,193,123,1998,100317794
BAD TEACHER,0.787743656,0.076262084,18.40494092,0.083226209,131,89,2011,100292856
SEVEN,0.303159814,0.138830898,11.10647182,0.040661894,201,127,1995,100125643
EXTRACT,0.822275956,0.059652928,17.70390456,0.04769924,84,90,2009,10823158
BELLE,0.426012638,0.161369193,11.45599022,0.128358496,123,105,2014,10726630
DRIVE ANGRY,0.846868752,0.010057471,22.51867816,-0.005125763,138,104,2011,10721033
PANDORUM,0.710672127,0.026973027,20.62937063,0.005219167,110,108,2009,10330853
WHITE SQUALL,0.394456668,0.105698529,10.21599265,0.085213072,145,129,1996,10292300
CHAOS,0.432531998,0.150552486,12.64917127,0.072048109,164,109,2005,10289
SOMEONE TO WATCH OVER ME,0.297170914,0.363013699,8.705479452,0.117842228,170,107,1987,10278549
WHITEOUT,0.828170821,0.025641026,30.8957265,-0.008857703,107,106,2009,10275638
WIN WIN,0.763728288,0,11.90093604,0.066937265,131,106,2011,10179275
THE GIRL WITH THE DRAGON TATTOO,0.342832187,0.072858287,10.05604484,0.066905713,351,152,2010,10095170
THE SURFER KING,0.673343179,0.382916053,21.48748159,0.098993403,41,95,2006,1990
MARGOT AT THE WEDDING,0.446660702,0.098933075,8.231813773,0.035090254,63,93,2007,1959420
TAKE SHELTER,0.851745301,0.033033033,26.67267267,0.032187815,122,120,2011,1730296
EVEN COWGIRLS GET THE BLUES,0.867084573,0.073333333,36.27111111,0.067610212,104,96,1994,1708873
THE WOODSMAN,0.566493861,0.099785408,11.13841202,0.008761122,125,87,2004,1576231
BEING HUMAN,0.281753287,0,10.942607,0.077499755,168,122,1994,1519366
HENRY FOOL,0.885213932,0.157084189,23.30184805,0.005093176,157,137,1998,1338335
THE WHISTLEBLOWER,0.340224787,0.00117096,10.59836066,0.051331429,263,112,2011,1124966
HEATHERS,0.414316169,0.091860465,11.75116279,0.082693783,86,102,1989,1108462
BLOOD AND WINE,0.78637257,0.063740857,18.81295716,0.02167955,214,101,1997,1094668
SUGAR,0.314730774,0.067669173,9.646616541,0.124523738,193,114,2009,1082124
KILL YOUR DARLINGS,0.282728525,0.047142857,7.034285714,0.097053423,166,104,2013,1030064
BARBARA,0.155945419,0.104700855,8.376068376,0.053400709,143,105,2012,1013902
